Date,RAY,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,EEM,VIX,label
12/14/17,-0.481665956,-0.117617437,-0.060137388,0.127926785,0.452206922,0.642555133,-0.622459106,-0.043061787,-0.776047557,-0.539723408,-1.002625973,1
12/15/17,0.811470296,0.85446483,0.04633581,0.080975889,1.469107552,0.023480366,0.571137415,0.469532209,-0.466505943,0.148384342,-1.149968693,1
12/18/17,0.520590651,0.445389979,-0.061661958,-0.021251143,0.275693438,0.598998953,0.281798331,0.494240867,0.555382626,0.807182571,-1.134821311,0
12/19/17,-0.37651775,-0.538382799,0.241012965,0.091053637,0.122317113,-0.131354718,-0.021897922,-1.699071811,0.965228949,-1.467679824,-1.065969572,1
12/20/17,-0.088514749,-0.14766823,0.070537367,0.17450756,1.022538384,0.40242969,0.184221553,-0.936336824,0.518448922,0.086133004,-1.10865765,1
12/21/17,0.160473367,-0.05054464,0.069611293,0.082286384,0.523921988,0.077037442,-0.205699828,-1.527197049,0.059841543,0.465619258,-1.122427998,1
12/22/17,-0.091121292,-0.152867009,0.068718,0.041942909,0.451409526,0.608091611,0.668769279,0.51855638,-0.185081348,0.603959825,-1.083871024,1
12/26/17,-0.117473716,-0.496139995,-0.346226242,0.38899324,0.937798244,0.650024615,0.762192831,0.37039405,-0.054528477,-0.071223768,-1.035674807,1
12/27/17,0.020054612,-0.050478605,-0.036882615,-0.065921744,0.01592031,0.204890311,0.462405723,0.234281137,0.501329003,0.178255743,-1.005380043,1
12/28/17,0.141954277,0.03705414,0.190638802,0.063385609,1.150058958,0.757724969,0.564097723,0.39579137,0.907794732,0.48888651,-1.045314051,1
12/29/17,-0.540842259,-0.55963162,-0.061661958,0.15594071,-0.183414851,0.894530897,0.24014771,0.004072971,1.017295361,0.330995052,-0.926889061,1
1/2/18,0.704603999,1.3519553,0.046874336,0.002339899,-0.50519736,0.491230286,0.821565004,-0.318811767,0.882903933,1.359692322,-1.101772476,1
1/3/18,0.483634407,0.722421349,0.046602433,0.319159428,-0.463991177,0.162472161,-0.178842276,-0.253192252,-0.696535898,0.685352268,-1.187148632,1
1/4/18,0.283330289,0.080251502,0.073531374,0.104448419,0.116956928,0.213939869,0.294468128,-1.381899305,0.866042366,0.349883806,-1.177509388,1
1/5/18,0.53676216,0.748725489,0.099172906,-0.119788549,-0.757515463,0.036247456,-0.024994328,0.014482698,-0.615683872,0.615873715,-1.177509388,1
1/8/18,0.12042141,0.252834582,-0.084605793,0.083338983,-0.131117527,-0.155595578,-0.288584087,0.383916115,-0.988405746,-0.008894137,-1.136198345,1
1/9/18,0.041485246,-0.055819361,0.207678723,0.305349856,-0.188050555,-0.510428105,-0.527164237,-1.040019385,-0.475167382,-0.126880208,-1.059084399,1
1/10/18,-0.155600591,-0.249196482,0.069611293,0.155884904,0.436975631,0.400423475,0.008336591,-0.906300404,0.189500223,-0.466835841,-1.094887302,1
1/11/18,0.703551221,0.490891704,-0.030437507,0.067249041,-0.063063825,0.22119509,0.031187971,-0.29198279,1.373851548,0.437093935,-1.086625094,1
1/12/18,0.507323847,0.531567524,0.04437577,0.128848662,-0.334608079,0.899252323,0.713091674,-0.660795048,2.750050645,0.685546153,-1.04806812,1
1/16/18,-0.45934837,-0.291087542,-0.055890372,-0.115008711,0.016182061,0.145351008,-0.051432026,0.125936973,0.932378564,-0.286960329,-0.841512905,1
1/17/18,0.790927304,0.80904307,0.121934488,0.06940745,-0.699502386,0.137790613,-0.623697615,0.525855553,-1.159337764,0.946049639,-0.807087036,1
1/18/18,-0.235566077,-0.046192711,0.118295754,0.009857744,0.222827218,-0.889553665,-0.148175748,-1.037871743,0.838132506,0.078107898,-0.764398959,1
1/19/18,0.455780608,0.19198869,0.090964428,-0.118000245,-0.269498303,0.418244441,0.206103497,0.398311631,-0.242620709,0.584906785,-0.895217261,1
1/22/18,0.664195783,0.801757085,0.065825964,0.042071218,0.245883165,-0.103235674,-0.016123196,0.696400266,0.645346037,0.407697391,-0.928266096,1
